Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
a	to			
a	towards			
aga	to bring	verb		
canaga	to take along	verb		
canagat	taking along	noun		noun
canagaiat	one who takes along			
agat	bringing	noun		noun
agaiat	bringer			
acatac	adjectival			
acatan	adjective			
acaun	stone			
acaunac	stony			
acaunan	stoning	noun		noun
acauni	to stone	verb		
acauniat	stoner			
acinci	to dechain	verb		
acinciat	dechainer			
acincan	dechaining	noun		noun
acit	field			
acitan	fielding			
aciti	to field	verb		
acitiat	fielder			
melic	sap			< Melicios, Graufesenque, DLG 2003, p. 224; associated with larch tree > the sap of the larch tree > used for making turpentine, cf. Pr.C. *melg-, Matasovic 2008, p. 263
melici	to sap	verb		
meliciat	sapper			
melican	sapping	noun		noun
tom	cheese			< toma, toumo, tomme, in Buccini 2022, p. 56, ‘Cé a bhog mo cháis? The Celtic Origins of Early Irish Cheese-making’
tomac	cheesy			
tomacas	cheesiness			
tamis	sieve			
tamisa	to sieve	verb		
tamisaiat	siever			
tamisan	sieving	noun		noun
tamisu	rennet			
dagru	twice-cooked cheese			from the western Alps, cf. Ger. ziger, zieger, Romansh tschigrun, tschagrun < Gaul. *dwi-gr-os “twice-cooked”, cf. ricotta, id., in Buccini 2022, from Hubschmied 1936
acol	skinny			
acolas	skinnyness			
acru	high			
acrunan	raising			
acrunas	altitude		derivation / compound	acru + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
acruni	to raise	verb	derivation / compound	acru + -ni, cf. carni < car-ni, DLG 2003, p. 106; cf. E. to accrue “to accumulate”
acruniat	raiser			
acrunitu	raised			
acu	fast			
acunas	speed			n-enlargement, cf. Anaone, DLG 2003, p. 45
acuni	to speed	verb	derivation / compound	acu + -ni, cf. carni < car + -ni, DLG 2003, p. 106
acunan	speeding	noun		noun
acuniat	speeder			
acunitu	sped			
ed	foot			unit of measurement; cf. cantedon, ades, DLG 2003, p. 103, 32; ed- instead of ad- to avoid confusion with common prefix ad- “towards”
ared	ankle		derivation / compound	ar + ed, “before-foot”, cf. araus, ar-aus “before-ear” > “temple”
ada	to place	verb		re-addas, “has placed”, DLG 2003, p. 261
adaiat	placer			
adat	placement			
adarc	reedsap			
ade	feet			measurement
adgar	to accuse	verb	derivation / compound	ad + gar, “at-shout”
adgariat	accusor			
adgaru	accusation			
adianta	to strive	verb		
adiantaiat	striver			
adiantan	striving	noun		noun
adiantu	ambition			
adiantumar	ambitious			
adiantumaras	ambitiousness			
